,popularity,vote_count,video,poster_path,id,adult,backdrop_path,original_language,original_title,genre_ids,title,vote_average,overview,release_date
3765,15.329,2989,False,/9PaIkUnfOcU1wi5cFbamnmAkjEs.jpg,376659,False,/fmTw2Bq6Dim1fSWMYS2lw1JEUQ2.jpg,en,Bad Moms,[35],Bad Moms,6.5,"When three overworked and under-appreciated moms are pushed beyond their limits, they ditch their conventional responsibilities for a jolt of long overdue freedom, fun, and comedic self-indulgence.",2016-07-28
3766,29.128,3272,False,/yCvB5fG5aEPqa1St7ihY6KEAsHD.jpg,8961,False,/jNGj5kw65X2tpx7ffRsuxunPjrC.jpg,en,Bad Boys II,"[28, 12, 35, 80, 53]",Bad Boys II,6.5,"Out-of-control, trash-talking buddy cops Marcus Burnett and Mike Lowrey of the Miami Narcotics Task Force reunite, and bullets fly, cars crash and laughs explode as they pursue a whacked-out drug lord from the streets of Miami to the barrios of Cuba. But the real fireworks result when Marcus discovers that playboy Mike is secretly romancing Marcus’ sexy sister.",2003-07-18
3767,14.887,454,False,/2gOtWF4IMCCWnJliUWNXAn5Iqvc.jpg,264656,False,/mWyGj75zfXtkpZmARTqP2ogqVdB.jpg,en,The Homesman,"[18, 37]",The Homesman,6.5,"When three women living on the edge of the American frontier are driven mad by harsh pioneer life, the task of saving them falls to the pious, independent-minded Mary Bee Cuddy. Transporting the women by covered wagon to Iowa, she soon realizes just how daunting the journey will be, and employs a low-life drifter, George Briggs, to join her. The unlikely pair and the three women head east, where a waiting minister and his wife have offered to take the women in. But the group first must traverse the harsh Nebraska Territories marked by stark beauty, psychological peril and constant threat.",2014-05-18
3768,65.907,3280,False,/qL0IooP0bjXy0KXl9KEyPo22ll0.jpg,39538,False,/bdmyvEdrmnj7J3RWaKXEOwYggRv.jpg,en,Contagion,"[18, 878, 53]",Contagion,6.5,"As an epidemic of a lethal airborne virus - that kills within days - rapidly grows, the worldwide medical community races to find a cure and control the panic that spreads faster than the virus itself.",2011-09-08
3769,12.649,569,False,/sqdbF40nBzS2IZVAGPxJT7loxoM.jpg,449755,False,/w1JmwP9Xpr8XzdaGLXZnkRSaWAo.jpg,en,Christmas Inheritance,[10749],Christmas Inheritance,6.5,"To inherit her father's company, socialite Ellen must first visit his small hometown, where she learns the value of hard work and helping others.",2017-12-15
3770,16.313,1563,False,/mOAkEXBSqmCc3TteSsJU8V7c0ll.jpg,282984,False,/38q18KZdmnQphB0wlaob4cx2I8A.jpg,en,Irrational Man,"[18, 9648]",Irrational Man,6.5,"On a small town college campus, a philosophy professor in existential crisis gives his life new purpose when he enters into a relationship with his student.",2015-07-17
3771,28.196,9266,False,/qttNmCib9gHhR5q0QoZ3FgmGom9.jpg,246655,False,/s02JrOhidlf9Blk6mIgzLjZiGzS.jpg,en,X-Men: Apocalypse,"[28, 12, 878, 14]",X-Men: Apocalypse,6.5,"After the re-emergence of the world's first mutant, world-destroyer Apocalypse, the X-Men must unite to defeat his extinction level plan.",2016-05-18
3772,8.24,246,False,/6Q2cjuMuqticomBjmwxwu8tyWEP.jpg,15613,False,/4TNlze5vo38xStGiQUMayQVhuLo.jpg,en,Fire in the Sky,"[18, 9648, 878]",Fire in the Sky,6.5,"A group of men who were clearing bush for the government arrive back in town, claiming that their friend was abducted by aliens. Nobody believes them, and despite a lack of motive and no evidence of foul play, their friends' disappearance is treated as murder.",1993-03-12
3773,16.714,1487,False,/2y0HOrupyFPBdL4sdjMx3zkXsyT.jpg,10585,False,/pIyzuJCG1D5iqQIu1WzQ0KgQUPp.jpg,en,Child's Play,[27],Child's Play,6.5,"A single mother gives her son a beloved doll for his birthday, only to discover that it is possessed by the soul of a serial killer.",1988-11-08
3774,7.898,359,False,/cK4zwy6xgAa2myUBprWhuAMzPpX.jpg,375012,False,,fa,زیر سایه,"[18, 27, 53, 10752]",Under the Shadow,6.5,"After Shideh's building is hit by a missile during the Iran-Iraq War, a superstitious neighbor suggests that the missile was cursed and might be carrying malevolent Middle-Eastern spirits. She becomes convinced a supernatural force within the building is attempting to possess her daughter Dorsa, and she has no choice but to confront these forces if she is to save her daughter and herself.",2016-10-07
